Results for N = 40
Iteration,v_true,alpha_true,tau_true,v_est,alpha_est,tau_est,bias_v,bias_alpha,bias_tau,squared_error
1,1.796076,1.476454,0.374864,1.428296,1.214455,0.464655,0.367780,0.262000,-0.089791,0.211968
2,0.743985,0.610564,0.438305,0.543214,0.556467,0.449752,0.200771,0.054097,-0.011447,0.043366
3,0.942363,0.978075,0.480665,1.003163,1.095149,0.441296,-0.060800,-0.117074,0.039369,0.018953
4,0.611301,0.755158,0.250183,1.051171,0.695308,0.257432,-0.439871,0.059850,-0.007249,0.197121
5,1.597978,1.320569,0.459250,1.408607,1.231430,0.452429,0.189370,0.089139,0.006821,0.043854
6,0.639657,1.391046,0.345458,0.385705,1.324394,0.413492,0.253952,0.066652,-0.068034,0.073563
7,1.224105,0.546490,0.476977,1.376932,0.530809,0.484926,-0.152826,0.015681,-0.007949,0.023665
8,0.747496,1.834630,0.162842,1.038028,1.874622,0.199336,-0.290532,-0.039993,-0.036494,0.087340
9,0.651887,0.808326,0.175994,0.241536,0.830809,0.140821,0.410350,-0.022484,0.035173,0.170130
10,1.545795,1.583057,0.391990,1.410813,1.557417,0.358998,0.134982,0.025640,0.032991,0.019966
11,0.897897,0.922285,0.195019,0.801263,0.912169,0.175862,0.096634,0.010116,0.019157,0.009807
12,0.574453,1.357655,0.435942,0.553994,1.319306,0.340962,0.020459,0.038349,0.094980,0.010910
13,0.730385,1.041243,0.271042,0.373781,1.084766,0.215440,0.356604,-0.043522,0.055602,0.132152
14,0.941824,1.493030,0.340086,0.770103,1.426578,0.281958,0.171721,0.066452,0.058128,0.037283
15,0.799512,0.538604,0.168333,1.455499,0.582136,0.162878,-0.655986,-0.043532,0.005455,0.432243
16,0.937717,0.622904,0.437508,1.346913,0.629066,0.448998,-0.409196,-0.006162,-0.011491,0.167611
17,0.962530,1.096201,0.295639,0.740576,1.144107,0.264537,0.221954,-0.047906,0.031102,0.052526
18,1.491560,0.636705,0.317650,2.070437,0.669566,0.313988,-0.578877,-0.032861,0.003662,0.336192
19,0.777322,1.828239,0.247761,0.609063,2.030600,0.159874,0.168259,-0.202361,0.087887,0.076985
20,1.168663,0.894944,0.286023,0.816902,0.894707,0.284303,0.351761,0.000237,0.001720,0.123739
21,0.839363,0.902843,0.124656,0.430423,0.942015,0.121243,0.408940,-0.039172,0.003413,0.168778
22,1.628353,1.501203,0.134283,1.447214,1.344591,0.221575,0.181139,0.156612,-0.087292,0.064959
23,1.015687,1.312174,0.488282,0.725954,1.335347,0.466440,0.289733,-0.023174,0.021843,0.084960
24,1.384590,1.330403,0.436319,1.590274,1.381664,0.499828,-0.205684,-0.051261,-0.063509,0.048967
25,1.727608,1.127948,0.314206,1.843703,1.191745,0.309856,-0.116095,-0.063797,0.004350,0.017567
26,1.800341,1.212237,0.452662,1.950735,1.287876,0.441781,-0.150394,-0.075640,0.010881,0.028458
27,1.214393,0.618433,0.461111,0.568874,0.712750,0.402260,0.645519,-0.094318,0.058851,0.429055
28,1.571459,1.253152,0.460182,0.989165,1.110646,0.565003,0.582294,0.142506,-0.104821,0.370361
29,1.700676,1.516302,0.348109,1.857412,1.352584,0.416776,-0.156737,0.163719,-0.068667,0.056085
30,0.680423,1.635783,0.169152,0.803833,1.724604,-0.004303,-0.123410,-0.088821,0.173454,0.053206
31,1.976552,1.958247,0.423384,1.847839,1.982619,0.442893,0.128713,-0.024372,-0.019509,0.017542
32,0.689279,1.135062,0.495312,0.808484,1.199035,0.435777,-0.119205,-0.063973,0.059535,0.021847
33,1.153090,1.995904,0.350890,1.531700,2.391828,0.306799,-0.378610,-0.395924,0.044091,0.302045
34,1.751162,0.886830,0.464322,3.952468,1.747454,0.380874,-2.201306,-0.860624,0.083447,5.593384
35,1.871261,0.600518,0.255240,2.652130,0.654041,0.256045,-0.780869,-0.053523,-0.000806,0.612622
36,1.096032,0.989190,0.210480,1.712409,0.905507,0.266553,-0.616376,0.083684,-0.056073,0.390067
37,1.187236,1.810199,0.414620,1.149956,1.692161,0.478915,0.037280,0.118039,-0.064295,0.019457
38,1.434587,1.283843,0.267838,0.691443,1.225404,0.251483,0.743143,0.058439,0.016355,0.555945
39,1.121664,0.722300,0.335174,1.167854,0.725517,0.327577,-0.046190,-0.003218,0.007597,0.002202
40,1.637566,1.909475,0.469971,1.428780,1.758357,0.603676,0.208786,0.151118,-0.133705,0.084305
41,1.344026,0.651486,0.214437,0.336056,0.597134,0.225121,1.007969,0.054352,-0.010683,1.019070
42,1.303450,1.015804,0.264356,0.572598,0.892119,0.318832,0.730852,0.123685,-0.054476,0.552410
43,1.074565,1.228377,0.343585,1.084030,1.278833,0.374331,-0.009465,-0.050456,-0.030746,0.003581
44,0.556199,0.913121,0.157541,0.233602,0.859026,0.163250,0.322596,0.054095,-0.005709,0.107027
45,1.412983,1.540492,0.115513,1.906199,1.544665,0.145329,-0.493216,-0.004173,-0.029816,0.244168
46,1.834361,0.997241,0.195032,2.194124,0.886873,0.251438,-0.359763,0.110368,-0.056406,0.144792
47,1.618625,1.881252,0.458813,1.344850,1.633806,0.496044,0.273775,0.247446,-0.037231,0.137568
48,0.530349,1.726079,0.221222,0.612485,1.793697,0.156934,-0.082135,-0.067618,0.064288,0.015451
49,0.920520,1.237429,0.378473,0.791327,1.225032,0.352230,0.129193,0.012397,0.026243,0.017533
50,0.647326,1.803350,0.153754,0.348983,1.773838,0.243494,0.298343,0.029512,-0.089740,0.097933
51,1.961329,1.164666,0.430329,1.615348,1.073825,0.427776,0.345981,0.090841,0.002553,0.127962
52,0.904130,1.125159,0.358222,0.477294,1.070253,0.357630,0.426836,0.054906,0.000592,0.185204
53,0.781904,0.817086,0.429588,1.116042,0.759199,0.459379,-0.334139,0.057887,-0.029792,0.115887
54,1.611417,1.639240,0.446876,2.025148,1.809034,0.381324,-0.413731,-0.169794,0.065552,0.204300
55,1.731526,1.272905,0.163589,1.673142,1.313233,0.162271,0.058384,-0.040328,0.001318,0.005037
56,0.966685,1.260193,0.154260,1.366895,1.269008,0.219782,-0.400211,-0.008815,-0.065522,0.164539
57,1.776943,1.818999,0.111579,1.937380,1.890988,0.126076,-0.160437,-0.071989,-0.014497,0.031132
58,0.789145,1.749395,0.434791,0.892717,1.736941,0.455172,-0.103572,0.012454,-0.020381,0.011298
59,0.874235,1.184673,0.467212,0.962871,1.140976,0.504523,-0.088636,0.043697,-0.037310,0.011158
60,1.556951,0.910966,0.429403,1.723193,1.006621,0.429589,-0.166242,-0.095654,-0.000186,0.036786
61,1.257690,1.453115,0.149549,1.249969,1.556767,0.124753,0.007721,-0.103652,0.024796,0.011418
62,0.545845,1.058700,0.337617,0.835463,1.160315,0.247982,-0.289618,-0.101615,0.089635,0.102239
63,0.766376,1.805721,0.334752,1.043693,1.864447,0.404352,-0.277317,-0.058726,-0.069600,0.085198
64,1.024640,0.745270,0.457797,0.772278,0.801576,0.422564,0.252362,-0.056305,0.035233,0.068098
65,1.623442,1.533276,0.214028,1.391590,1.398336,0.276057,0.231852,0.134940,-0.062030,0.075812
66,1.079849,0.744361,0.328903,1.346377,0.815977,0.284828,-0.266528,-0.071616,0.044076,0.078109
67,1.947376,1.785667,0.358952,1.834829,1.604748,0.344098,0.112547,0.180918,0.014854,0.045619
68,1.516543,0.903625,0.263803,1.922952,0.902051,0.273490,-0.406409,0.001574,-0.009687,0.165264
69,0.530079,1.670455,0.407029,0.648236,1.694773,0.392436,-0.118157,-0.024318,0.014593,0.014765
70,0.513347,1.867273,0.358949,0.572855,1.917784,0.310327,-0.059508,-0.050511,0.048622,0.008457
71,1.401713,0.512696,0.200956,1.555750,0.469798,0.224476,-0.154037,0.042898,-0.023520,0.026121
72,1.707628,0.958190,0.486810,1.306999,0.840561,0.518831,0.400629,0.117629,-0.032021,0.175366
73,1.464110,1.135710,0.250590,1.571978,1.237873,0.171286,-0.107868,-0.102163,0.079304,0.028362
74,1.023064,0.877998,0.286679,1.354486,0.811092,0.323298,-0.331422,0.066907,-0.036619,0.115658
75,1.515794,1.736466,0.258861,1.394404,1.395514,0.368138,0.121391,0.340952,-0.109277,0.142925
76,0.653468,1.267271,0.364942,0.769107,1.101664,0.415295,-0.115639,0.165607,-0.050352,0.043333
77,1.764926,1.061345,0.358937,1.609051,1.078028,0.340667,0.155875,-0.016683,0.018270,0.024909
78,1.413575,0.947714,0.143242,1.494975,0.927302,0.167542,-0.081400,0.020411,-0.024301,0.007633
79,0.595756,1.982541,0.356238,0.304546,2.032663,0.348970,0.291210,-0.050122,0.007268,0.087368
80,1.792237,0.891720,0.384438,1.500996,0.823962,0.413085,0.291242,0.067759,-0.028647,0.090234
81,1.838561,0.948187,0.159972,1.543276,1.004744,0.126557,0.295284,-0.056557,0.033415,0.091508
82,1.648212,1.849531,0.422172,1.572238,1.872770,0.377814,0.075974,-0.023239,0.044358,0.008280
83,1.703546,1.400050,0.364212,1.835354,1.604289,0.282661,-0.131809,-0.204239,0.081552,0.065738
84,1.521134,1.581925,0.362160,1.731218,1.700790,0.310657,-0.210085,-0.118865,0.051503,0.060917
85,1.996204,0.889139,0.267426,1.350451,0.915814,0.249740,0.645753,-0.026675,0.017686,0.418021
86,1.082412,0.552979,0.383228,1.140093,0.542973,0.388169,-0.057680,0.010006,-0.004941,0.003452
87,1.358064,0.784873,0.390620,1.948828,0.890074,0.365671,-0.590764,-0.105201,0.024949,0.360692
88,0.833545,1.301953,0.413959,1.094114,1.417217,0.402180,-0.260570,-0.115264,0.011779,0.081321
89,1.859790,1.507803,0.302926,1.743362,1.441069,0.373897,0.116428,0.066733,-0.070971,0.023046
90,1.768129,1.760958,0.450598,1.758597,1.674312,0.497686,0.009532,0.086646,-0.047088,0.009816
91,0.771704,0.646405,0.151178,0.655040,0.618993,0.148861,0.116663,0.027412,0.002316,0.014367
92,0.887978,1.712516,0.405167,0.960574,1.805795,0.181662,-0.072597,-0.093280,0.223505,0.063926
93,0.774603,1.519569,0.234253,0.789198,1.567114,0.234942,-0.014595,-0.047546,-0.000689,0.002474
94,0.633950,1.032925,0.397684,0.517992,0.986165,0.389752,0.115958,0.046760,0.007932,0.015696
95,0.960628,1.682136,0.232527,1.045708,1.860855,0.106152,-0.085080,-0.178719,0.126375,0.055150
96,0.890839,0.941077,0.440486,0.901068,0.940327,0.446040,-0.010229,0.000750,-0.005555,0.000136
97,1.205805,1.799590,0.333430,1.690021,2.167762,0.372221,-0.484216,-0.368172,-0.038792,0.371520
98,1.916451,0.606824,0.455770,1.644168,0.668187,0.440891,0.272283,-0.061364,0.014879,0.078125
99,1.250716,1.801247,0.252668,1.321512,1.901084,0.314343,-0.070796,-0.099837,-0.061676,0.018783
100,0.947534,0.581093,0.441696,0.170582,0.586716,0.438973,0.776951,-0.005623,0.002723,0.603692
101,0.706048,0.800445,0.263677,0.476021,0.851780,0.269789,0.230027,-0.051335,-0.006112,0.055585
102,1.354105,1.859931,0.283029,1.339330,1.875792,0.384772,0.014775,-0.015861,-0.101743,0.010822
103,0.974575,1.573503,0.411576,0.737276,1.677476,0.171793,0.237299,-0.103973,0.239783,0.124617
104,1.231371,1.446549,0.170730,1.626120,1.351207,0.216617,-0.394749,0.095342,-0.045887,0.167022
105,1.451748,0.507070,0.209411,0.695677,0.434513,0.230006,0.756072,0.072557,-0.020595,0.577333
106,1.641790,0.752909,0.405793,2.702983,0.719912,0.432429,-1.061193,0.032997,-0.026635,1.127929
107,1.234366,1.645354,0.135217,1.600649,2.288797,-0.051985,-0.366284,-0.643443,0.187201,0.583228
108,1.421720,1.450231,0.261357,1.784757,1.649771,0.257512,-0.363037,-0.199539,0.003845,0.171627
109,1.947992,1.074975,0.115090,2.623214,0.957720,0.187605,-0.675223,0.117254,-0.072515,0.474932
110,0.799121,1.059652,0.105631,1.281965,1.081383,0.096332,-0.482843,-0.021730,0.009299,0.233696
111,0.983320,1.749843,0.176231,1.053579,1.646389,0.297305,-0.070260,0.103454,-0.121075,0.030298
112,1.515122,1.440030,0.199529,2.050998,1.786233,0.173733,-0.535876,-0.346203,0.025797,0.407685
113,1.540287,1.016525,0.151572,1.884051,1.032833,0.146395,-0.343764,-0.016308,0.005177,0.118466
114,1.075326,1.383006,0.166808,1.141793,1.214138,0.249316,-0.066467,0.168868,-0.082508,0.039742
115,1.735766,0.947303,0.216331,2.259856,0.972285,0.246649,-0.524091,-0.024982,-0.030317,0.276214
116,1.591748,1.394555,0.235134,1.023636,1.354284,0.179480,0.568112,0.040271,0.055654,0.327470
117,1.831961,1.993209,0.237093,1.973853,1.856046,0.351718,-0.141892,0.137163,-0.114625,0.052086
118,1.852076,1.038876,0.175370,1.984762,1.107047,0.088946,-0.132687,-0.068170,0.086424,0.029722
119,1.922127,1.877308,0.261357,1.921364,1.906751,0.241431,0.000763,-0.029443,0.019925,0.001264
120,0.842627,1.590753,0.152482,0.906985,1.709618,0.145230,-0.064357,-0.118865,0.007253,0.018323
121,1.601115,1.384539,0.167594,1.607981,1.366450,0.157809,-0.006866,0.018090,0.009785,0.000470
122,1.049887,1.475811,0.114945,1.333988,1.647110,0.099981,-0.284100,-0.171300,0.014965,0.110281
123,1.814816,0.883684,0.313893,2.126543,1.033238,0.285375,-0.311727,-0.149554,0.028519,0.120354
124,0.572880,1.992020,0.364788,0.366081,1.996520,0.357992,0.206800,-0.004500,0.006796,0.042833
125,1.480351,0.529613,0.375900,2.387182,0.518085,0.385338,-0.906831,0.011528,-0.009438,0.822564
126,1.125163,1.070381,0.318913,0.999122,0.970252,0.336156,0.126041,0.100128,-0.017243,0.026209
127,1.211595,0.729691,0.378077,0.953160,0.649460,0.417742,0.258434,0.080231,-0.039665,0.074799
128,1.445467,0.951675,0.364666,2.123350,1.034792,0.362554,-0.677883,-0.083117,0.002112,0.466438
129,1.493724,0.904966,0.342254,0.749728,0.825686,0.310542,0.743997,0.079280,0.031711,0.560822
130,0.705745,1.745979,0.141966,0.522760,1.854388,-0.003919,0.182985,-0.108409,0.145885,0.066518
131,1.578149,0.676602,0.145605,2.419733,0.804184,0.100302,-0.841583,-0.127582,0.045303,0.726592
132,0.659396,0.797970,0.179900,1.127705,0.859623,0.159517,-0.468309,-0.061653,0.020383,0.223530
133,0.894491,1.284719,0.180669,0.726759,1.165859,0.236094,0.167732,0.118860,-0.055425,0.045334
134,1.555155,0.943027,0.115762,1.669530,1.038976,0.121046,-0.114375,-0.095949,-0.005284,0.022316
135,1.244532,0.811541,0.473250,0.633658,0.806153,0.446261,0.610874,0.005388,0.026988,0.373924
136,0.995905,0.504107,0.368653,2.293041,0.479107,0.373928,-1.297136,0.025000,-0.005275,1.683214
137,1.860320,1.752848,0.367609,1.374275,1.598825,0.300707,0.486045,0.154023,0.066902,0.264439
138,0.723717,0.635124,0.304682,0.987393,0.626943,0.319845,-0.263676,0.008181,-0.015163,0.069822
139,1.585345,0.651936,0.202357,1.932967,0.717185,0.205573,-0.347622,-0.065249,-0.003216,0.125109
140,0.846740,1.982999,0.218409,0.731194,2.120637,0.001553,0.115546,-0.137638,0.216856,0.079322
141,1.196416,0.649713,0.169881,2.050030,0.676231,0.166654,-0.853614,-0.026518,0.003227,0.729370
142,0.559167,0.935851,0.420638,0.684725,0.904070,0.384677,-0.125558,0.031781,0.035962,0.018068
143,0.969061,1.607810,0.137999,0.709984,1.547376,0.124916,0.259077,0.060434,0.013083,0.070944
